"HolderAddress","Balance"
"0xcdf398537adbf8617a8401b14dcee7f67cf8c64b",75006873589396200259216
"0xf0e3fdf48661cd10d56692f60bd4eccd01e9cf64",1676905223801149986684322
"0x3b09b9adfe11f92225b4c55de89fa81456595cd9",177089244725583004765213
"0xedafe410e2f07ab9d7f1b04316d29c2f49dcb104",95652205697671495727263
"0x226f9954a1221cde805c76cfb312a5d761630e14",9462029466244830473443
"0xc1d40e197563df727a4d3134e8bd1def4b498c6f",3670202000000000000000000
"0x97c0cce3189814a6049264db8c39935bc075b467",15000000000000000000
"0x939e84f4acba4a9a28629e7bf0beb7621f8ae3c3",25880079238526001006
"0x6502bc1deeb61c1fce5151e90bcbe51fc75cfb10",1873927176463390021
"0x9258f6900452afa700c58eb9c9cbea69c911604e",150
"0x820f92c1b3ad8e962e6c6d9d7caf2a550aec46fb",2511019297578369787516
"0x45544abf5936deb78490d38ec42b80757d16c014",1
"0x000000005736775feb0c8568e7dee77222a26880",52
"0x79272128b1961df2b173f73aac1ad84ed94e1311",2071315792405509910168
"0xdcb87abf8ada15ebb94b29526a152b29c27fba3b",12631687533403100687
"0x7f44bbcad722efd365ded12a88478f48c0026c0c",20963376787536599721
"0xbf3f6477dbd514ef85b7d3ec6ac2205fd0962039",1
"0x000000000000084e91743124a982076c59f10084",1
"0xa71504de8712ab1405bb6d007365f56f3886d0f1",8750000000000000000
"0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d",1
"0x81729e32d90c094ea7a5787bf14699f0502b0a30",5172008938678789747
"0x99c8792b2ad99964be254d1bebfd7fbdfe02094b",50000000000000000000000
"0xab0ac8f86932ffefeef44da5d01bdd73dcc9f460",72556910000000002015
"0xffe9d0b9070deb72b3ed6e4cd7a42e09b7fb8e64",5000000000000000000
"0xa23485a040c4fadcbf13aaaafaf0bb48f7e291bb",4000000000000000000
"0x0921d88c612ca10aaa15a706540ff88de1f0891f",443309494961703021
"0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb",240011657296181994070
"0x855a5b16782304d3382dd764ef69a10efbeb9a77",1
"0x284e5a984e03a737a9a0cc3089891bb689da2fc4",507877835277382985169
"0xcf0eeba94a7f77f967344075e3fcfffbd5b936f6",1856130000000000058
"0x3162f28fa49222baf67c369da4703df9d1ee0ee6",44645010130451
"0xce2532d7ca69bb7302f3988a59da077dc4af70bf",24798831231652
"0x02023798e0890ddebfa4cc6d4b2b05434e940202",1
"0xaef979e300b6e23a3ed604749123c7f5cc3ae2a4",85210059728745704888
"0xf01041bb0c361fd47bbec697006392cc62d70eca",19565009471507899264
"0x5b60bbe9ea334ae6c1ad097e13609db5e7d69d47",5038569592366640038
"0x8d2c7d2ab8b29d57e94735bb42f8578955b19886",10654784598003999463
"0x10e3dee3fef2f68f16074f702cc44a8b64d9448a",3529093068539479905
"0x7792110192c2343d53a2fd32f9bef54faba6600f",80000000000000000000
"0x916b7c9795842b161e01a72429a0175370540f28",64723023173658901896
"0x29186a4b45e21b6654373ca33a13873e9a15294d",196373424876709009368
"0xf4fe83479f92768e6ce25bbf58cc8eabc2ae22f9",105221302449556006309
"0x2e9bf6ee2b14e520792644eca698cd0d59fbef34",6636295512962750109
"0xb6380f96485ce9fecd576933a7764ff034a1c0e6",11645260466298099189
"0x7e4a11ab7d29f8e770c0dfe0de2c5f3326266ef2",12573588316638900864
"0x13496a822830d5e8087d6b216af8919dd03a5ceb",121034563613268005611
"0x4ad011dc4ebc5c7ce0bf9bfe62ce66b344c2b698",5000000000000000000
"0xcce8d59affdd93be338fc77fa0a298c2cb65da59",26869364580
"0x7d0decb313dd600691c5fc084a6e9c5b82aa98e3",17269023871727501529
"0x51a5a53447ae941c1157e59aa84b777023f8ba6a",1793507094576390015
"0xd64f437ea6cfb029b54dc490ecf127169babc0f6",39297575273552901365
"0x40dca74c853d40d3de0ce86ab6a4df712ed8ff76",72062441343765598845
"0x50054a8c926b447d03cac52484aba334a5209a12",49852758208785902
"0xe405aaec743ef8c409ec1656f90995b42cbecb39",36674407329483
"0x77b184fe390222f9d93d680947f2bbb4817a7576",4000000000000000000
"0x722e895a12d2a11be99ed69dbc1fedbb9f3cd8fe",200000000000000011
"0x42507d90403b845a0f46aa2fe3a8821fa698890c",1000000000000000000
"0xf9c58135a08eb53cc24784840ecc6ad22c6ddcc7",97908041359259
"0x03fbfb20609a7c04992d306cd08e57272cc7ad93",166
"0x75a8e1d981ed99f9c2a8d2c1623f329119ce78de",1690493961621740038
"0x0b6acdc3b5e92e223d58e764f035a1e290147205",620020148635813007
"0x8e198092afbda3e82d7145105c35e3f6fcad7585",3004547984105399916
